 | 2026-09-10 15:43:12,546 |INFO |test |
 | 2026-09-10 15:43:12,547 |INFO |read succful |
 | 2026-09-10 15:44:51,000 |INFO |test |
 | 2026-09-10 15:44:51,001 |INFO |read succful |
 | 2026-09-10 19:19:49,640 |INFO |test |
 | 2026-09-10 19:19:49,642 |INFO |user ask to create new favorite |
 | 2026-09-10 19:19:49,642 |INFO |get all favorites |
 | 2026-09-10 19:19:49,645 |INFO |read succful |
 | 2026-09-10 19:19:49,645 |ERROR |user not exists |
 | 2026-09-10 19:19:49,645 |ERROR |user not exists |
 | 2026-09-10 19:19:49,646 |ERROR |user not exists |
 | 2026-09-10 19:19:49,646 |ERROR |user not exists |
 | 2026-09-10 19:19:49,646 |ERROR |user not exists |
 | 2026-09-10 19:19:49,647 |INFO |get all favorites |
 | 2026-09-10 19:19:49,649 |INFO |read succful |
 | 2026-09-10 19:20:47,858 |INFO |test |
 | 2026-09-10 19:20:47,859 |INFO |user ask to create new favorite |
 | 2026-09-10 19:20:47,859 |INFO |get all favorites |
 | 2026-09-10 19:20:47,860 |INFO |read succful |
 | 2026-09-10 19:20:47,861 |ERROR |user not exists |
 | 2026-09-10 19:20:47,861 |ERROR |user not exists |
 | 2026-09-10 19:20:47,861 |ERROR |user not exists |
 | 2026-09-10 19:20:47,862 |INFO |user exists |
 | 2026-09-10 19:20:47,863 |INFO |favorite created |
 | 2026-09-10 19:20:47,864 |INFO |get all favorites |
 | 2026-09-10 19:20:47,901 |INFO |read succful |
 | 2026-09-10 19:22:33,425 |INFO |test |
 | 2026-09-10 19:22:33,426 |INFO |user ask to create new favorite |
 | 2026-09-10 19:22:33,426 |INFO |get all favorites |
 | 2026-09-10 19:22:33,427 |INFO |read succful |
 | 2026-09-10 19:23:49,298 |INFO |test |
 | 2026-09-10 19:23:49,299 |INFO |user ask to create new favorite |
 | 2026-09-10 19:23:49,300 |INFO |get all favorites |
 | 2026-09-10 19:23:49,300 |INFO |read succful |
 | 2026-09-10 19:26:15,156 |INFO |test |
 | 2026-09-10 19:26:15,157 |INFO |user ask to create new favorite |
 | 2026-09-10 19:26:15,157 |INFO |get all favorites |
 | 2026-09-10 19:26:15,158 |INFO |read succful |
 | 2026-09-10 19:26:15,158 |INFO |get all favorites |
 | 2026-09-10 19:26:15,158 |INFO |read succful |
